Frases,Codi,Google,Errors,Apertium,Errors,ChatGPT,,Softcatala,Errors,Gemini,Errors,Yandex,
Siempre comía con cuchara de plata y se había acostumbrado.,2,Sempre menjava amb cullera de plata i s'hi havia acostumat.,,Sempre menjava amb cullera de plata i s'havia acostumat.,1,Sempre menjava amb cullera de plata i s'havia acostumat.,1,Sempre menjava amb cullera de plata i s'havia acostumat.,1,Sempre menjava amb cullera de plata i s'hi havia acostumat.,,Sempre menjava amb una cullera de plata i s'hi havia acostumat.,
No queríamos que cantara en la fiesta pero insistió mucho.,2,No volíem que cantés a la festa però va insistir molt.,1,No volíem que cantés en la festa però va insistir molt.,1,No volíem que cantés a la festa però va insistir molt.,1,No volíem que cantés en la festa però va insistir molt.,1,"No volíem que cantés a la festa, però va insistir molt.",1,"No volíem que cantés a la festa, però va insistir molt.",1
Bebe mucho vino pero no abusa.,2,Beu molt de vi però no abusa.,1,Beu molt vi però no abusa.,1,Beu molt vi però no en fa mal ús.,,Beu molt vi però no abusa.,1,"Beu molt vi, però no n'abusa.",,Beu molt de vi però no abusa.,1
Compró torreznos pero no comió ni uno.,2,Va comprar rostes però no en va menjar ni un.,1,Va comprar rostes però no va menjar ni un.,1,Va comprar xichets però no en va menjar ni un.,1,Va comprar rostes però no va menjar ni un.,1,"Va comprar torreznos, però no en va menjar ni un.",1,"Va comprar uns entrepans, però no se'n va menjar.",1
Salió de casa solo pero entró con María.,2,Va sortir de casa sol però va entrar amb la Maria.,1,Va sortir de casa sol però va entrar amb María.,1,Va sortir de casa sol però va entrar amb la Maria.,1,Va sortir de casa sol però va entrar amb María.,1,"Va sortir de casa sol, però va entrar amb Maria.",1,Va sortir de casa sol però va entrar amb La Maria.,1
LLeva la libreta a su hija pero no se la da.,1,Porta la llibreta a la seva filla però no li dóna.,1,Porta la llibreta a la seva filla però no la hi dóna.,,Porta el llibret a la seva filla però no se'l dóna.,1,Porta la llibreta a la seva filla però no la hi dona.,,"Porta la llibreta a la seva filla, però no li dona.",1,Porta la llibreta a la seva filla però no li la dóna.,
Los empleados quieren saber el motivo de esta reunion clandestina y ahora se lo diré.,1,Els empleats volen saber el motiu d'aquesta reunió clandestina i ara els ho diré.,1,Els empleats volen saber el motiu d'aquesta reunion clandestina i ara li ho diré.,1,Els empleats volen saber el motiu d'aquesta reunió clandestina i ara els ho diré.,1,Els empleats volen saber el motiu d'aquesta *reunion clandestina i ara li ho diré.,1,Els empleats volen saber el motiu d'aquesta reunió clandestina i ara els ho diré.,1,Els empleats volen saber el motiu d'aquesta reunió clandestina i ara els explicaré.,1
Sale del piso pero no vuelve.,2,Surt del pis però no torna.,1,Surt del pis però no torna.,1,Surt del pis però no torna.,1,Surt del pis però no torna.,1,"Surt del pis, però no torna.",1,Abandona el pis però no torna.,1
Entra en el piso pero no sale.,2,Entra al pis però no surt.,1,Entra en el pis però no surt.,1,Entra al pis però no surt.,1,Entra en el pis però no surt.,1,"Entra al pis, però no surt.",1,Entra a l'apartament però no surt.,1
Puede que venga pero asegúrate.,2,Potser vindrà però assegura't.,1,Pot ser que vingui però assegura't.,1,Potser que vingui però assegura't.,1,Pot ser que vingui però assegura't.,1,"Potser ve, però assegura't-ho.",1,"Pot venir, però assegureu-vos.",1
Quiere mucho a su hija pero no confía en ella.,2,Vol molt la seva filla però no hi confia.,,Vol molt a la seva filla però no confia en ella.,1,Estima molt la seva filla però no confia en ella.,1,Vol molt a la seva filla però no confia en ella.,1,"L'estima molt, però no confia en ella.",1,"Estima molt la seva filla, però no confia en ella.",1
Le he pedido que se presente pero no ha accedido.,2,Li he demanat que es presenti però no hi ha accedit.,,Li he demanat que es presenti però no ha accedit.,1,Li he demanat que es presenti però no ha accedit.,1,Li he demanat que es presenti però no ha accedit.,1,"Li he demanat que es presenti, però no ha accedit.",1,"Li he demanat que es presentés, però no hi ha acord.",
Quiere demasiado a Juan y por eso mismo lo odia.,3,Vol massa Juan i per això mateix ho odia.,1,Vol massa a Juan i per això mateix ho odia.,1,Estima massa en Juan i per això mateix el detesta.,,Vol massa a Juan i per això mateix ho odia.,1,L'estima massa a Joan i per això mateix l'odia.,,Estima Massa En John i per Això l'odia.,
Hablé con María y la puse en su sitio.,3,Vaig parlar amb Maria i la vaig posar al seu lloc.,,Vaig parlar amb María i la vaig posar en el seu lloc.,,Vaig parlar amb la Maria i la vaig posar al seu lloc.,,Vaig parlar amb María i la vaig posar en el seu lloc.,,Vaig parlar amb Maria i la vaig posar al seu lloc.,,Vaig parlar Amb La Maria i la vaig posar al seu lloc.,
Adquiere la libreta para la directora pero no se la trae.,1,Adquireix la llibreta per a la directora però no se la porta.,1,Adquireix la llibreta per a la directora però no la hi porta.,1,Adquireix el llibret per a la directora però no li ho porta.,1,Adquireix la llibreta per a la directora però no la hi porta.,,"Compra la llibreta per a la directora, però no li porta.",1,Compra la llibreta per al director però no li la porta.,
Proporciona los informes a la coordinadora y se los explica.,1,Proporciona els informes a la coordinadora i se'ls explica.,1,Proporciona els informes a la coordinadora i els hi explica.,,Proporciona els informes a la coordinadora i els explica.,1,Proporciona els informes a la coordinadora i els hi explica.,,Dóna els informes a la coordinadora i els explica.,1,Proporcioneu els informes al coordinador i expliqueu-los.,1
Da las explicaciones al responsable y se las repite dos veces.,1,Dóna les explicacions al responsable i les repeteix dues vegades.,1,Dóna les explicacions al responsable i les hi repeteix dues vegades.,,Dóna les explicacions al responsable i se les repeteix dues vegades.,1,Dona les explicacions al responsable i les hi repeteix dues vegades.,,Explica les coses al responsable i les repeteix dues vegades.,1,Doneu les explicacions al responsable i repetiu-les dues vegades.,1
Redacto el informe para los técnicos per no se lo tramito.,1,Redacte l'informe per als tècnics per no els ho tramito.,1,Redacto l'informe per als tècnics per no li ho tramito.,1,Redacto l'informe pels tècnics però no els ho tramito.,1,Redacto l'informe per als tècnics *per no li ho tramito.,1,"Redacto l'informe per als tècnics, però no els el tramito.",,Escric l'informe per als tècnics però no el processo per a ells.,1
Busco tabaco porque ya no me queda.,2,Busco tabac perquè ja no em queda.,1,Busco tabac perquè ja no em queda.,1,Busco tabac perquè ja no em queda.,1,Busco tabac perquè ja no em queda.,1,Busco tabac perquè ja no me'n queda.,,Estic buscant tabac perquè no em queda res.,1
Encargo sobres porque no tengo ninguno.,2,Encàrrec sobres perquè no en tinc cap.,,Encarrego sobres perquè no tinc cap.,1,Encarrego sobres perquè no en tinc cap.,,Encarrego sobres perquè no tinc cap.,1,Encarrego sobres perquè no en tinc cap.,,Demano sobres perquè no en tinc.,
No tengo muchos bolígrafos y pediré más.,2,No tinc gaires bolígrafs i demanaré més.,1,No tinc molts bolígrafs i demanaré més.,1,No tinc molts bolígrafs i en demanaré més.,,No tinc molts bolígrafs i demanaré més.,1,No tinc molts bolígrafs i en demanaré més.,,No tinc molts bolígrafs i en demanaré més.,
Me gustan las manzanas y como una al día.,2,M'agraden les pomes i com una al dia.,1,M'agraden les pomes i com uneixi al dia.,1,M'agraden les pomes i en menjo una al dia.,,M'agraden les pomes i com uneixi al dia.,1,M'agraden les pomes i en menjo una al dia.,,M'agraden les pomes i en menjo una al dia.,
Prepara manzanas a la abuela y se las lleva.,1,Prepara pomes a l'àvia i se les emporta.,1,Prepara pomes a l'àvia i se les emporta.,1,Prepara pomes per a l'àvia i se les porta.,1,Prepara pomes a l'àvia i se les emporta.,1,Prepara pomes per a l'àvia i li les porta.,,Fa pomes de l'àvia i se les porta a ella.,1
Redacta informes para el párroco y se los lee.,1,Redacta informes per al rector i se'ls llegeix.,1,Redacta informes per al rector i els hi llegeix.,,Redacta informes per al pàrroc i els llegeix.,1,Redacta informes per al rector i els hi llegeix.,,Redacta informes per al rector i els llegeix.,1,Escriu informes per al rector i els llegeix.,1
Prepara caramelos para los niños y se los da.,1,Prepara caramels per als nens i els hi dóna.,1,Prepara caramels per als nens i els hi dóna.,1,Prepara caramels pels nens i els hi dóna.,1,Prepara caramels per als nens i els hi dona.,1,Prepara caramels per als nens i els dona.,1,Fa caramels per als nens i els dóna.,1
Te recomendaron a los consejeros y te los presentaron.,1,Et van recomanar als consellers i te'ls van presentar.,,Et van recomanar als consellers i te'ls van presentar.,,Et van recomanar als consellers i et els van presentar.,1,Et van recomanar als consellers i te'ls van presentar.,,Et van recomanar els assessors i te'ls van presentar.,,Us van recomanar als consellers i us els van presentar.,
Trae la taza y dámela.,1,Porta la tassa i dóna-me-la.,,Porta la tassa i dóna-me-la.,,Porta la tassa i dóna-m'la.,1,Porta la tassa i dona-me-la.,,Porta la tassa i dóna-mela.,1,Agafa la copa i dóna'm-la.,1
Recoge rábanos para tu tía y cocínaselos.,1,Recull raves per a la teva tia i cuina'ls.,1,Recull raves per a la teva tia i cuina'ls-hi.,,Recol·lecta ràbanos per a la teva tia i cuina'ls.,1,Recull raves per a la teva tia i cuina'ls-hi.,,Recull raves per a la teva tia i cuina-les.,1,Tria raves per a la teva tia i cuina'ls per a ella.,1
Prepara las plumas para Eva y se las envuelve.,1,Prepara les plomes per a Eva i se les envolta.,1,Prepara les plomes per a Eva i les hi embolica.,,Prepara les plomes per a l'Eva i les embolica.,1,Prepara les plomes per a Eva i les hi embolica.,,Prepara les plomes per a l'Eva i les embolcalla.,1,Prepara Les plomes Per A L'Eva i les embolica per a ella.,1
Compra los lápices al crío y se los envuelve.,1,Compra els llapis a la criatura i se'ls envolta.,1,Compra els llapis a la criatura i els hi embolica.,1,Compra els llapis al nen i se'ls embolica.,1,Compra els llapis a la criatura i els hi embolica.,,Compra els llapis al nen i els embolica.,1,Compra els llapis al nen i els embolica per a ell.,1
No recibe las quejas de los vecinos ni se las resuelve.,1,No rep les queixes dels veïns ni se les resol.,1,No rep les queixes dels veïns ni les hi resol.,1,No rep les queixes dels veïns ni les resol.,1,No rep les queixes dels veïns ni les hi resol.,1,No rep les queixes dels veïns ni els les resol.,,No rep queixes dels veïns ni les resol.,1
Compra los libros en la liberería y los trae.,1,Compra els llibres a la libereria i els porta.,,Compra els llibres en la liberería i els porta.,,Compra els llibres a la llibreria i els porta.,,Compra els llibres en la *liberería i els porta.,,Compra els llibres a la llibreria i els porta.,,Compra els llibres a la llibreria i els porta.,
Consigue la sombrilla para ir a la playa y la lleva.,1,Compra el para-sol per anar a la platja i la porta.,1,Compra l'ombrel·la per a anar a la platja i la porta.,1,Aconsegueix la paraeta per anar a la platja i la porta.,1,Aconsegueix l'ombrel·la per a anar a la platja i la porta.,1,Conssegueix la sombrilla per anar a la platja i la porta.,1,Agafa el paraigua per anar a la platja i el porta.,1
Compran merienda para los ancianos y se la regalan.,1,Compren berenar als ancians i se la regalen.,1,Compren berenar als ancians i la hi regalen.,1,Compren berenar pels ancians i els hi regalen.,1,Compren berenar per als ancians i la hi regalen.,1,Compren berenar per als ancians i els el regalen.,1,Compren aperitius per a gent gran i els regalen.,1
Escribió un telegrama a su hijo y se lo envió.,1,Va escriure un telegrama al seu fill i el va enviar.,1,Va escriure un telegrama al seu fill i el va enviar.,1,Va escriure un telegrama al seu fill i el va enviar.,1,Va escriure un telegrama al seu fill i li ho va enviar.,1,Va escriure un telegrama al seu fill i els el va enviar.,1,Va escriure un telegrama al seu fill i li va enviar.,1
Adquirió las entradas para sus amigos pero no se las repartió.,1,Va adquirir les entrades per als seus amics però no se les va repartir.,1,Va adquirir els entrades per als seus amics però no se'ls va repartir.,1,Va adquirir entrades per als seus amics però no se'ls va repartir.,1,Va adquirir les entrades per als seus amics però no les hi va repartir.,1,Va adquirir les entrades per als seus amics però no els les va repartir.,,Va comprar les entrades per als seus amics però no les va repartir.,1
Cocina pasteles para las niñas y se los lleva.,1,Cuina pastissos per a les nenes i se'ls emporta.,1,Cuina pastissos per als nens i es'ls emporta.,1,Cuina pastissos per als nens i els porta.,1,Cuina pastissos per a les nenes i se'ls emporta.,1,Cuina pastissos per a les nenes i els porta.,1,Cuina pastissos per a les noies i se les emporta.,1
El capataz dio una orden a los trabajadores y se la repitió al cabo de poco.,1,El capatàs va donar una ordre als treballadors i se la va repetir al cap de poc.,1,El capatàs va donar una ordre als treballadors i la hi va repetir al cap de poc.,1,El capatàs va donar una ordre als treballadors i els ho va repetir al cap de poc.,1,El capatàs va donar una ordre als treballadors i la hi va repetir al cap de poc.,1,El capatàs va donar una ordre als treballadors i els la va repetir al cap de poc.,,El capatàs va donar una ordre als treballadors i els la va repetir al cap de poc temps.,
Han escrito una postal a los abuelos y se la han enviado.,1,Han escrit una postal als avis i l'han enviada.,1,Han escrit una postal als avis i l'han enviada.,1,Han escrit una postal als avis i els l'han enviat.,,Han escrit una postal als avis i la hi han enviat.,1,Han escrit una postal als avis i els l'han enviada.,,Han escrit una postal als avis i els l'han enviat.,
Ha preparado un ramo de flores secas para la novia y se lo ha regalado.,1,Ha preparat un ram de flors seques per a la núvia i els ho ha regalat.,1,Ha preparat un ram de flors assequis per a la núvia i els ho ha regalat.,1,Ha preparat un ram de flors asseques per a la núvia i li ho ha regalat.,1,Ha preparat un ram de flors seques per a la núvia i li ho ha regalat.,1,Ha preparat un ram de flors seques per a la núvia i els el ha regalat.,1,Ha preparat un ram de flors seques per a la núvia i se l'ha regalat.,1
Inventa historias increíbles para sus hijas y se las explica.,1,Inventa històries increïbles per a les filles i se les explica.,1,Inventa històries increïbles per als filles i se'ls explica.,1,Inventa històries increïbles per a les filles i els les explica.,,Inventa històries increïbles per a les seves filles i les hi explica.,1,Inventa històries increïbles per a les seves filles i els les explica.,,Inventa històries increïbles per a les seves filles i les explica.,1
Ha regalado sus joyas a sus nieta y ella se las ha devuelto.,1,Ha regalat les seves joies a les seves néta i ella se les ha tornat.,1,Ha regalat els seves joies als seves néta i ella se'ls ha tornat.,1,Ha regalat les seves joies a la seva néta i ella li les ha tornades.,,Ha regalat les seves joies a les seves neta i ella les hi ha retornat.,1,Ha regalat les seves joies a les seves netes i elles els les han tornat.,1,Ha regalat les seves joies a la seva néta i ella li les ha retornat.,1
Ha diseñado un programa para el cliente y se lo ha presentado.,1,Ha dissenyat un programa per al client i l'hi ha presentat.,,Ha dissenyat un programa per al client i li ho ha presentat.,1,Ha dissenyat un programa per al client i li ha presentat.,1,Ha dissenyat un programa per al client i li ho ha presentat.,1,Ha dissenyat un programa per al client i li l'ha presentat.,,Ha dissenyat un programa perquè el client i li ha presentat.,1
Crea vacunas para los enfermos y se las pone.,1,Crea vacunes per als malalts i se les posa.,1,Crea vacunis per als malalts i se'ls posa.,1,Crea vacunes per als malalts i els les posa.,,Crea vacunes per als malalts i les hi posa.,1,Crea vacunes per als malalts i els les posa.,,Crea vacunes per als malalts i les posa.,1
Cada día trae caramelos a los niños y se los reparte.,1,Cada dia porta caramels als nens i se'ls reparteix.,1,Cada dia porta caramels als nens i es'ls reparteix.,1,Cada dia porta caramels als nens i els els reparteix.,,Cada dia porta caramels als nens i els hi reparteix.,1,Cada dia porta caramels als nens i els els reparteix.,,Cada dia porta dolços als nens i els reparteix.,1
Infla los globos para los críos y se los reparte.,1,Infla els globus per a les criatures i se'ls reparteix.,1,Infla els globus per als criatures i es'ls reparteix.,1,Infla els globus per a les criatures i els els reparteix.,,Infla els globus per a les criatures i els hi reparteix.,1,Infla els globus per als nens i els els reparteix.,,Infla els globus per als nens i els distribueix.,1
Trae los papeles a las secretarias para dárselos.,1,Porta els papers a les secretàries per donar-los-hi.,1,Porta els papers als secretàries per donar-els-hi.,1,Porta els papers a les secretàries per donar-los-hi.,1,Porta els papers a les secretàries per a donar-los-hi.,1,Porta els papers a les secretaries per donar-los-els.,,Porteu els papers a les secretàries per donar-los-los.,1
Indica la ruta a los asistentes y se la comenta.,1,Indica la ruta als assistents i se la comenta.,1,Indica la ruta als assistents i la hi comenta.,1,Indica la ruta als assistents i els la comenta.,,Indica la ruta als assistents i la hi comenta.,1,Indica la ruta als assistents i els la comenta.,,Indica la ruta als assistents i la comenta.,1
Anuncia los titulares a la audiencia y se los explica.,1,Anuncia els titulars a l'audiència i se'ls explica.,1,Anuncia els titulars a l'audiència i es'ls explica.,1,Anuncia els titulars a l'audiència i els els explica.,1,Anuncia els titulars a l'audiència i els hi explica.,,Anuncia els titulars a l'audiència i els els explica.,1,Anuncia els titulars al públic i els explica.,1
Repara el reloj al cliente y se lo devuelve.,1,Repara el rellotge al client i se'l torna.,1,Repara el rellotge al client i es'l torna.,1,Repara el rellotge al client i li el torna.,1,Repara el rellotge al client i li ho retorna.,1,Repara el rellotge al client i els el torna.,1,Repara el rellotge al client i li el torna.,1
Sugirió los medicamentos al paciente y se los recetó.,1,Va suggerir els medicaments al pacient i se'ls va receptar.,1,Va suggerir els medicaments al pacient i es'ls va encobrir.,1,Va suggerir els medicaments al pacient i els els va encobrir.,1,Va suggerir els medicaments al pacient i els hi va receptar.,,Va suggerir els medicaments al pacient i els els va receptar.,1,Va suggerir els medicaments al pacient i li va receptar.,1
Explicó el resultado a los alumnos y se lo repitió.,1,Va explicar el resultat als alumnes i ho va repetir.,1,Va explicar el resultat als alumnes i ho va repetir.,1,Va explicar el resultat als alumnes i els ho va repetir.,1,Va explicar el resultat als alumnes i li ho va repetir.,1,Va explicar el resultat als alumnes i els el va repetir.,,Va explicar el resultat als estudiants i els va repetir.,1
Dile a Rosa que llegarás tarde y repíteselo.,1,Digues-li a la Rosa que arribaràs tard i repeteixi-ho.,1,Digues-li a la Rosa que arribaràs tard i repeteixi-ho.,1,Digues-li a la Rosa que arribaràs tard i que ho repeteixi.,1,Digues-li a Rosa que arribaràs tard i repeteix-li-ho.,,Digues-li a la Rosa que arribaràs tard i repeteix-li-ho.,,Digues-li a La Rosa que arribaràs tard i digues-li-ho de nou.,1
Inventa cuentos para los alumnos y se los graba en audiolibros.,1,Inventa contes per als alumnes i els enregistra en audiollibres.,1,Inventa contes per als alumnes i els enregistra en audiollibres.,1,Inventa contes per als alumnes i els els enregistra en audiollibres.,,Inventa contes per als alumnes i els hi grava en audiollibres.,1,Inventa contes per als alumnes i els els grava en audiollibres.,,Inventa històries per als estudiants i les grava en audiollibres.,1
Comete muchos errores pero no se da cuenta.,2,Comet molts errors però no se n'adona.,,Comet molts errors però no es n'adona.,1,Comet molts errors però no s'adona'n.,1,Comet molts errors però no s'adona.,1,Comet molts errors però no se n'adona.,,"Comet molts errors, però no se n'adona.",
Trabaja con refugiados y se implica mucho.,2,Treballa amb refugiats i s'hi implica molt.,,Treballa amb refugiats i #s'hi implica molt.,,Treballa amb refugiats i s'hi implica molt.,,Treballa amb refugiats i s'implica molt.,1,Treballa amb refugiats i s'hi implica molt.,,Treballo amb persones refugiades i m'hi involucro molt.,
No quiere ver la realidad porque se niega.,2,No vol veure la realitat perquè es nega.,1,No vol veure la realitat perquè és nega.,1,No vol veure la realitat perquè s'hi nega.,,No vol veure la realitat perquè es nega.,1,No vol veure la realitat perquè s'hi nega.,,No vol veure la realitat perquè es nega.,1
Ha conocido una chica y se ha enamorado.,2,Ha conegut una noia i se n'ha enamorat.,,Ha conegut una noia i es n'ha enamorat.,1,Ha conegut una noia i s'hi ha enamorat.,,Ha conegut una noia i s'ha enamorat.,1,Ha conegut una noia i s'ha enamorat.,1,Va conèixer una noia i es va enamorar.,1
Quería llamarte pero me he olvidado.,2,Volia trucar-te però m'he oblidat.,1,Volia trucar-et però #m'he oblidat.,1,Volia trucar-te però m'he oblidat.,1,Volia cridar-te però m'he oblidat.,1,Volia trucar-te però me n'he oblidat.,,"Volia trucar-te, però me'n vaig oblidar.",
Iba al teatro los miércoles y volvía el sábado.,2,Anava al teatre els dimecres i tornava dissabte.,1,Anava al teatre els dimecres i tornava dissabte.,1,Anava al teatre els dimecres i hi tornava dissabte.,,Anava al teatre els dimecres i tornava el dissabte.,1,Anava al teatre els dimecres i tornava el dissabte.,1,Vaig anar al teatre els dimecres i vaig tornar dissabte.,1
